ชื่อสินค้า,ต้นทุน,ราคาขาย,หน่วยนับ,สต็อก,หมวดหมู่,SKU
น้ำเเข็งหลอดใหญ่(50),30,50,50,20,น้ำเเข็ง,น้ำเ--691
น้ำเเข็งแผ่น,26,40,-,100,น้ำเเข็ง,น้ำเ--503
น้ำแข็งบด 10,7,10,-,65,น้ำเเข็ง,น้ำแ--618
น้ำแข็งบด 45,30,45,-,100,น้ำเเข็ง,น้ำแ--640
น้ำแข็งบด 50,30,50,-,100,น้ำเเข็ง,น้ำแข็งบด-50-ชิ้น-50
น้ำแข็งบด35,30,35,-,99,น้ำเเข็ง,น้ำแข็งบด35-ชิ้น-35
น้ำแข็งบดละเอียด,30,40,-,98,น้ำเเข็ง,น้ำแ--626
น้ำแข็งบดหยาบ,30,40,-,94,น้ำเเข็ง,น้ำแ--429
น้ำแข็งมือ,3.5,5,-,95,น้ำเเข็ง,น้ำแ--348
น้ำแข็งมือ 25,13,25,-,100,น้ำเเข็ง,น้ำแ--896
หลอด 10,6,10,ถุง,99,น้ำเเข็ง,น้ำแ--108
น้ำแข็งหลอด 60,30,60,ถุง,97,น้ำเเข็ง,น้ำแ--675
น้ำแข็งหลอดใหญ่,30,50,ถุง,46,น้ำเเข็ง,น้ำแ--664
น้ำแข็งแผ่น 1 กั้ก,13,20,ถุง,100,น้ำเเข็ง,น้ำแ--501
น้ำแข็งแผ่น50,26,50,ถุง,100,น้ำเเข็ง,น้ำแ--784
บด หยาบ 30,20,30,ถุง,82,น้ำเเข็ง,บดหย--688
บด. 55,30,55,ถุง,100,น้ำเเข็ง,บด.5--458
บดละเอียด 1 กั้ก,15,20,ถุง,100,น้ำเเข็ง,บดละ--966
บดละเอียด 30,25,30,ถุง,84,น้ำเเข็ง,บดละ--274
บดหยาบ 1. กั้ก,15,20,ถุง,90,น้ำเเข็ง,บดหย--211
มือ,3,7,ก้อน,95,น้ำเเข็ง,มือ5--101
หลอด 20,15,20,ถุง,100,น้ำเเข็ง,หลอด--375
หลอด 30,20,30,ถุง,100,น้ำเเข็ง,หลอด--224
หลอด 5 บาท,3,5,ถุง,99,น้ำเเข็ง,หลอด--670
หลอดบด,35,60,ถุง,98,น้ำเเข็ง,หลอด--898
หลอดบด55,35,55,ถุง,100,น้ำเเข็ง,หลอด--720
หลอดบด60,35,60,ถุง,98,น้ำเเข็ง,หลอด--652
หลอดบดละเอียด,35,45,ถุง,91,น้ำเเข็ง,หลอด--329
หลอดบดละเอียด 50,35,50,ถุง,97,น้ำเเข็ง,หลอด--153
หลอดเล็ก,35,50,ถุง,86,น้ำเเข็ง,หลอด--472
หลอดเล็ก 20,10,20,ถุง,100,น้ำเเข็ง,หลอด--555
หลอดเล็ก 40,25,40,ถุง,100,น้ำเเข็ง,หลอด--759
หลอดเล็ก 55,35,55,ถุง,100,น้ำเเข็ง,หลอด--291
หลอดเล็ก(60),35,60,ถุง,99,น้ำเเข็ง,หลอด--596
หลอดเล็ก(70),35,70,ถุง,100,น้ำเเข็ง,หลอด--570
หลอดเล็ก10,5,10,ถุง,98,น้ำเเข็ง,หลอด--468
หลอดเล็ก30,15,30,ถุง,100,น้ำเเข็ง,หลอด--126
หลอดใหญ่ 50,30,45,ถุง,99,น้ำเเข็ง,หลอด--480
หลอดใหญ่ 60,35,60,ถุง,0,น้ำเเข็ง,หลอด--395
หลอดใหญ่ 60บาท,30,60,ถุง,100,น้ำเเข็ง,หลอด--408
หลอดใหญ่55,35,55,ถุง,100,น้ำเเข็ง,หลอด--723
น้ำแข็ง,20,40,-,28,น้ำเเข็ง,น้ำแ--411
LmGeen,67,72,-,100,บุหรี่,LMGE--833
บุหรี่ SMS แดง,65,70,-,100,บุหรี่,บุหร--545
ยาเส้นตราเสือ,8,10,-,100,บุหรี่,ยาเส--395
LEO  (ลัง ),634,665,ลัง ,97,เบียร์,LEO6--533
SPY,300,310,ลัง,100,เบียร์,SPY--350
ช้าง ไม่เย็น,49,65,-,100,เบียร์,ช้าง--672
ช้าง(ขวด),48,65,ขวด,100,เบียร์,ช้าง--166
ช้าง(ลัง),580,650,ลัง,100,เบียร์,ช้าง--396
ช้างกระป๋อง,31,35,กระป๋ฮง,100,เบียร์,ช้าง--692
ช้างป๋องสั้น,725,745,ถาด,100,เบียร์,ช้าง--382
ช้างยาวถาด,615,675,ถาด,100,เบียร์,ช้าง--445
ฟูลมูล,32,35,-,100,เบียร์,ฟูลม--321
,,,,,,
ลีโอ ไม่เย็น,52,54,-,100,เบียร์,ลีโอ--366
ลีโอ(ลัง),610,625,ลัง,100,เบียร์,ลีโอ--674
ลีโอ,51,60,ขวด,100,เบียร์,ลีโอ--976
ลีโอกระป๋อง,732,745,-,100,เบียร์,ลีโอ--145
ลีโอกระป๋อง สั้น,32,37,-,100,เบียร์,ลีโอ--733
ลีโอกระป๋อง ยาว,32,55,-,100,เบียร์,ลีโอ--733
สปาย ลัง,300,310,-,100,เบียร์,สปาย--521
สิงห์(ขวด),57,65,ขวด,100,เบียร์,สิงห--523
เบียร์สิงห์,685,720,-,100,เบียร์,เบีย--495
เบียร์สิงห์ 6 ขวด,56,58,-,100,เบียร์,เบีย--599
เบียร์สิงห์ 720,676,720,-,100,เบียร์,เบีย--720
เบียร์สิงห์ ขวด,57,60,-,100,เบียร์,เบีย--833
เบียร์สิงห์ลัง,666,700,-,100,เบียร์,เบีย--542
แสงโสม กลม,280,300,-,100,เบียร์,แสงโ--570
ไฮเนเก้น,57,62,-,100,เบียร์,ไฮเน--864
ไฮเนเก้น1ลัง,735,745,-,100,เบียร์,ไฮเน--220
ไฮเนเก้นใหญ่1ลัง,858,870,-,100,เบียร์,ไฮเน--507
รีเจนซี่ กลมใหญ่,700,900,-,100,เหล้า,รีเจ--293
รีเจนซี่ แบน,320,450,-,100,เหล้า,รีเจ--293
หงส์ ลิตร,370,390,-,100,เหล้า,หงส์--999
หงส์กลม,245,265,-,100,เหล้า,หงส์--109
หงส์แบน,135,150,-,100,เหล้า,หงส์--435
เหยี่ยวเงิน,150,159,-,100,เหล้า,เหยี--467
แสงโสม,280,305,-,100,เหล้า,แสงโ--903
น้ำอัดมิรินด้า345 ม.ล. 1แพ็ค,100,108,-,100,อัดลมขวดพลาสติก,น้ำอ--690
อัดลม 1.5,23,30,-,100,อัดลมขวดพลาสติก,อัดล--488
อัดลม 1.5. แช่เย็น,23,30,-,100,อัดลมขวดพลาสติก,อัดล--473
อัดลม 10,105,108,-,100,อัดลมขวดพลาสติก,อัดล--570
อัดลม 12 *,127,132,-,100,อัดลมขวดพลาสติก,อัดล--763
เปปซี่ 1 ลิตร (แพค),240,260,แพค,100,อัดลมขวดพลาสติก,เปปซ--170
เอสโคล่า 20,16,20,-,100,อัดลมขวดพลาสติก,เอสโ--200
แดง 10บาท,98,108,-,100,อัดลมขวดพลาสติก,แดง1--653
แป๊ปซี่12,250,264,-,100,อัดลมขวดพลาสติก,แป๊ป--454
แป๊ปซี่40,35,40,-,100,อัดลมขวดพลาสติก,แป๊ป--384
โค้ก ฝาดำ,95,108,-,100,อัดลมขวดพลาสติก,โค้ก--604
โค้ก1.25,25,28,-,99,อัดลมขวดพลาสติก,โค้ก--563
โค้ก1.5,27,30,-,100,อัดลมขวดพลาสติก,โค้ก--907
โค้ก1.95,35,40,-,100,อัดลมขวดพลาสติก,โค้ก--379
โค้ก10,196,216,-,100,อัดลมขวดพลาสติก,โค้ก--138
โค้ก15,162,168,-,100,อัดลมขวดพลาสติก,โค้ก--868
โค้ก15บ.,14,15,-,100,อัดลมขวดพลาสติก,โค้ก--204
ถ่าน40,30,40,-,100,อุปกรณ,ถ่าน--872
ถ่าน20,15,20,-,100,อุปกรณ,ถ่าน--454
ถ่านกระสอบ,130,250,-,100,อุปกรณ,ถ่าน--804
ยาพารา,10,15,-,100,อุปกรณ,ยาพา--325
หลอดดูด,40,45,-,100,อุปกรณ,หลอด--936
เชิ้อไฟ,2,5,-,100,อุปกรณ,เชิ้--136
แก้ว.  ฝา,70,90,-,100,อุปกรณ,แก้ว--421
